,visit_date,total_count,uva,canvas,eqk9vb,drive,last_time
0,2024-11-16,0,0,0,0,0,2025-02-23 06:24:21
1,2024-11-17,113,63,26,6,18,2025-02-23 23:18:40
2,2024-11-18,229,58,87,24,60,2025-02-23 23:13:00
3,2024-11-19,126,57,40,6,23,2025-02-23 23:44:47
4,2024-11-20,234,49,110,30,45,2025-02-23 23:06:47
5,2024-11-21,396,137,94,124,41,2025-02-23 23:59:49
6,2024-11-22,75,21,0,21,33,2025-02-23 22:31:06
7,2024-11-23,66,55,0,11,0,2025-02-23 23:17:52
8,2024-11-24,172,99,0,60,13,2025-02-23 23:19:05
9,2024-11-25,334,149,114,29,42,2025-02-23 23:56:47
10,2024-11-26,69,57,2,10,0,2025-02-23 23:06:50
11,2024-11-27,25,15,0,10,0,2025-02-23 17:54:50
12,2024-11-28,146,91,0,38,17,2025-02-23 23:07:18
13,2024-11-29,203,104,7,73,19,2025-02-23 23:59:29
14,2024-11-30,127,66,0,36,25,2025-02-23 23:28:05
15,2024-12-01,173,62,17,21,73,2025-02-23 23:50:00
16,2024-12-02,245,30,130,13,72,2025-02-23 22:12:37
17,2024-12-03,107,38,19,0,50,2025-02-23 23:34:48
18,2024-12-04,332,70,65,138,59,2025-02-23 23:13:38
19,2024-12-05,79,6,33,0,40,2025-02-23 21:43:26
20,2024-12-06,129,29,30,20,50,2025-02-23 23:57:36
21,2024-12-07,124,53,15,12,44,2025-02-23 20:17:29
22,2024-12-08,188,108,7,30,43,2025-02-23 23:59:10
23,2024-12-09,187,111,17,13,46,2025-02-23 23:28:04
24,2024-12-10,422,177,100,139,6,2025-02-23 23:16:23
25,2024-12-11,764,621,116,19,8,2025-02-23 23:50:18
26,2024-12-12,169,90,24,17,38,2025-02-23 23:15:21
27,2024-12-13,161,70,16,31,44,2025-02-23 23:46:16
28,2024-12-14,37,29,8,0,0,2025-02-23 23:25:00
29,2024-12-15,29,10,0,9,10,2025-02-23 23:52:42
30,2024-12-16,0,0,0,0,0,2025-02-23 20:14:14
31,2024-12-17,0,0,0,0,0,2025-02-23 03:48:28
32,2024-12-18,0,0,0,0,0,
33,2024-12-19,0,0,0,0,0,
34,2024-12-20,0,0,0,0,0,
35,2024-12-21,0,0,0,0,0,
36,2024-12-22,0,0,0,0,0,
37,2024-12-23,0,0,0,0,0,
38,2024-12-24,0,0,0,0,0,
39,2024-12-25,0,0,0,0,0,
40,2024-12-26,0,0,0,0,0,
41,2024-12-27,0,0,0,0,0,
42,2024-12-28,0,0,0,0,0,
43,2024-12-29,0,0,0,0,0,
44,2024-12-30,0,0,0,0,0,
45,2024-12-31,1,1,0,0,0,2025-02-23 22:47:04
46,2025-01-01,43,28,0,15,0,2025-02-23 22:56:56
47,2025-01-02,0,0,0,0,0,2025-02-23 02:52:13
48,2025-01-03,1,1,0,0,0,2025-02-23 02:14:16
49,2025-01-04,0,0,0,0,0,2025-02-23 02:50:25
50,2025-01-05,37,21,0,10,6,2025-02-23 23:22:58
51,2025-01-06,67,48,4,15,0,2025-02-23 22:45:08
52,2025-01-07,292,234,0,47,11,2025-02-23 23:54:39
53,2025-01-08,18,16,0,2,0,2025-02-23 22:40:52
54,2025-01-09,139,56,0,11,72,2025-02-23 23:37:06
55,2025-01-10,4,2,0,2,0,2025-02-23 03:35:15
56,2025-01-11,41,33,1,7,0,2025-02-23 22:59:35
57,2025-01-12,37,20,0,13,4,2025-02-23 23:47:15
58,2025-01-13,470,258,83,67,62,2025-02-23 23:41:18
59,2025-01-14,114,37,18,2,57,2025-02-23 21:44:39
60,2025-01-15,321,88,87,17,129,2025-02-23 23:06:02
61,2025-01-16,64,15,4,0,45,2025-02-23 23:54:52
62,2025-01-17,192,65,0,44,83,2025-02-23 22:51:31
63,2025-01-18,0,0,0,0,0,
64,2025-01-19,0,0,0,0,0,2025-02-23 23:15:08
65,2025-01-20,202,104,28,16,54,2025-02-23 22:16:49
66,2025-01-21,251,96,81,34,40,2025-02-23 23:39:40
67,2025-01-22,174,87,53,15,19,2025-02-23 23:15:04
68,2025-01-23,249,138,45,43,23,2025-02-23 22:32:46
69,2025-01-24,28,13,2,7,6,2025-02-23 20:22:28
70,2025-01-25,0,0,0,0,0,
71,2025-01-26,29,20,0,0,9,2025-02-23 03:18:02
72,2025-01-27,469,256,83,46,84,2025-02-23 22:59:20
73,2025-01-28,171,84,48,25,14,2025-02-23 23:56:30
74,2025-01-29,218,49,53,34,82,2025-02-23 23:30:54
75,2025-01-30,158,68,39,9,42,2025-02-23 22:59:36
76,2025-01-31,101,49,5,16,31,2025-02-23 21:06:30
77,2025-02-01,62,18,20,0,24,2025-02-23 22:45:57
78,2025-02-02,9,0,0,0,9,2025-02-23 22:53:52
79,2025-02-03,298,68,126,7,97,2025-02-23 23:11:10
80,2025-02-04,207,81,43,17,66,2025-02-23 23:59:30
81,2025-02-05,237,77,49,30,81,2025-02-23 23:59:24
82,2025-02-06,173,25,61,7,80,2025-02-23 23:58:46
83,2025-02-07,87,33,7,16,31,2025-02-23 21:12:57
84,2025-02-08,127,51,5,14,57,2025-02-23 21:41:11
85,2025-02-09,135,22,22,11,80,2025-02-23 23:35:50
86,2025-02-10,391,108,48,63,172,2025-02-23 23:55:24
87,2025-02-11,272,90,59,28,95,2025-02-23 23:49:30
88,2025-02-12,303,77,102,20,104,2025-02-23 23:53:21
89,2025-02-13,77,27,31,19,0,2025-02-23 23:57:44
90,2025-02-14,20,2,0,0,18,2025-02-23 00:21:53
