,date,total_count,uva,canvas,zzb2rf,drive,last_time
0,2024-02-24,284,275,9,0,0,23:46:30.962664
1,2024-02-25,90,63,16,0,11,23:25:44.553481
2,2024-02-26,65,43,8,14,0,22:07:04.772297
3,2024-02-27,69,37,18,6,8,23:58:28.779171
4,2024-02-28,114,47,37,15,15,23:37:52.076116
5,2024-02-29,93,16,33,6,38,16:29:03.523973
6,2024-03-01,0,0,0,0,0,
7,2024-03-02,0,0,0,0,0,
8,2024-03-03,0,0,0,0,0,
9,2024-03-04,0,0,0,0,0,
10,2024-03-05,0,0,0,0,0,
11,2024-03-06,0,0,0,0,0,
12,2024-03-07,2,2,0,0,0,13:35:43.980614
13,2024-03-08,0,0,0,0,0,
14,2024-03-09,2,2,0,0,0,21:40:45.454582
15,2024-03-10,35,6,0,2,27,20:42:32.888643
16,2024-03-11,56,29,3,8,16,21:15:45.663558
17,2024-03-12,61,13,41,7,0,20:53:30.352649
18,2024-03-13,16,6,8,2,0,23:23:03.483293
19,2024-03-14,23,19,4,0,0,19:16:08.556510
20,2024-03-15,39,8,27,0,4,23:58:13.504111
21,2024-03-16,12,0,12,0,0,23:20:04.701246
22,2024-03-17,109,13,35,7,54,21:58:40.546337
23,2024-03-18,79,32,22,8,17,18:55:35.693822
24,2024-03-19,43,13,19,7,4,23:55:29.475269
25,2024-03-20,50,16,25,1,8,21:35:42.302393
26,2024-03-21,103,37,36,1,29,23:41:18.409048
27,2024-03-22,36,2,17,0,17,23:06:59.080551
28,2024-03-23,89,27,20,0,42,20:46:36.977932
29,2024-03-24,215,29,30,0,156,22:33:26.573278
30,2024-03-25,131,35,46,10,40,23:49:24.947278
31,2024-03-26,174,61,45,1,67,23:52:43.158396
32,2024-03-27,113,43,43,0,27,23:51:23.621694
33,2024-03-28,45,6,25,0,14,21:51:24.423641
34,2024-03-29,0,0,0,0,0,
35,2024-03-30,39,2,21,0,16,22:11:17.975775
36,2024-03-31,59,24,0,1,34,22:15:51.754995
37,2024-04-01,72,15,8,10,39,23:24:33.698653
38,2024-04-02,118,37,25,5,51,22:01:46.212481
39,2024-04-03,64,4,30,0,30,20:51:14.112429
40,2024-04-04,26,4,0,0,22,19:38:39.774833
41,2024-04-05,47,22,0,1,24,17:54:13.043974
42,2024-04-06,78,12,10,2,54,17:04:53.474954
43,2024-04-07,280,194,6,49,31,21:44:22.846582
44,2024-04-08,280,224,12,14,30,23:50:22.614626
45,2024-04-09,56,21,9,2,24,22:00:10.140395
46,2024-04-10,97,15,7,4,71,23:26:39.252481
47,2024-04-11,67,7,38,1,21,20:45:08.667854
48,2024-04-12,2,2,0,0,0,12:52:04.222792
49,2024-04-13,143,105,4,1,33,17:44:06.509895
50,2024-04-14,114,7,36,1,70,23:35:49.433650
51,2024-04-15,75,25,5,7,38,22:25:07.275731
52,2024-04-16,23,14,5,0,4,23:59:07.775545
53,2024-04-17,16,16,0,0,0,23:02:24.571983
54,2024-04-18,163,77,22,31,33,21:56:13.209832
55,2024-04-19,37,4,3,0,30,18:57:06.369440
56,2024-04-20,120,43,17,11,49,21:31:43.807128
57,2024-04-21,46,4,0,0,42,23:19:45.658408
