,Unnamed: 0,Date,total_sleep_hours,sleep_start,sleep_end,date,total_videos_watched
0,0,2021-08-29,7.737222222222222,2021-08-28 23:30:00-05:00,2021-08-29 07:30:00-05:00,,
1,1,2021-09-30,7.203611111111111,2021-09-29 23:17:47-05:00,2021-09-30 06:30:00-05:00,,
2,2,2021-10-01,7.277222222222222,2021-09-30 23:13:22-05:00,2021-10-01 06:30:00-05:00,,
3,3,2021-10-02,5.6325,2021-10-02 01:51:28-05:00,2021-10-02 07:30:00-05:00,,
4,4,2021-10-03,6.345555555555555,2021-10-03 01:09:17-05:00,2021-10-03 07:30:01-05:00,,
5,5,2021-10-04,8.0,2021-10-03 22:30:00-05:00,2021-10-04 06:30:00-05:00,,
6,6,2021-10-05,7.946388888888888,2021-10-04 22:30:00-05:00,2021-10-05 06:30:01-05:00,,
7,7,2021-10-06,7.010277777777778,2021-10-05 23:29:24-05:00,2021-10-06 06:30:01-05:00,,
8,8,2021-10-07,6.285555555555555,2021-10-06 23:25:55-05:00,2021-10-07 06:21:35-05:00,,
9,9,2021-10-08,7.580833333333333,2021-10-07 22:32:10-05:00,2021-10-08 06:08:42-05:00,,
10,10,2021-10-09,6.915555555555556,2021-10-09 00:35:04-05:00,2021-10-09 07:30:00-05:00,,
11,11,2021-10-10,8.0,2021-10-09 23:30:00-05:00,2021-10-10 07:30:00-05:00,,
12,12,2021-10-11,7.206388888888889,2021-10-10 23:17:39-05:00,2021-10-11 06:30:02-05:00,,
13,13,2021-10-12,7.030277777777778,2021-10-11 23:28:12-05:00,2021-10-12 06:30:01-05:00,,
14,14,2021-10-13,7.261111111111111,2021-10-12 23:14:21-05:00,2021-10-13 06:30:01-05:00,,
15,15,2021-10-14,6.547777777777778,2021-10-13 23:57:08-05:00,2021-10-14 06:30:00-05:00,,
16,16,2021-10-15,6.671666666666667,2021-10-14 23:49:43-05:00,2021-10-15 06:30:01-05:00,,
17,17,2021-10-16,7.005,2021-10-16 00:27:41-05:00,2021-10-16 07:30:01-05:00,,
18,18,2021-10-17,7.187777777777778,2021-10-17 00:18:44-05:00,2021-10-17 07:30:00-05:00,,
19,19,2021-10-18,6.654166666666667,2021-10-17 23:50:45-05:00,2021-10-18 06:30:00-05:00,,
20,20,2021-10-19,6.521111111111111,2021-10-18 23:58:45-05:00,2021-10-19 06:30:01-05:00,,
21,21,2021-10-20,7.300833333333333,2021-10-19 23:11:58-05:00,2021-10-20 06:30:01-05:00,,
22,22,2021-10-21,6.346111111111111,2021-10-20 23:44:43-05:00,2021-10-21 06:30:02-05:00,,
23,23,2021-10-22,6.957777777777778,2021-10-21 23:30:41-05:00,2021-10-22 06:30:01-05:00,,
24,24,2021-10-23,7.220555555555555,2021-10-22 23:50:25-05:00,2021-10-23 07:03:39-05:00,,
25,25,2021-10-24,6.569722222222223,2021-10-24 00:55:01-05:00,2021-10-24 07:30:00-05:00,,
26,26,2021-10-25,6.473055555555555,2021-10-24 23:58:58-05:00,2021-10-25 06:30:01-05:00,,
27,27,2021-10-26,5.998055555555555,2021-10-25 23:54:38-05:00,2021-10-26 06:30:01-05:00,,
28,28,2021-10-27,6.298611111111111,2021-10-26 23:11:26-05:00,2021-10-27 06:30:00-05:00,,
29,29,2021-10-28,7.0808333333333335,2021-10-27 23:25:09-05:00,2021-10-28 06:30:00-05:00,,
30,30,2021-10-29,7.116666666666666,2021-10-28 23:23:00-05:00,2021-10-29 06:30:00-05:00,,
31,31,2021-10-30,6.555833333333333,2021-10-30 00:56:39-05:00,2021-10-30 07:30:00-05:00,,
32,32,2021-10-31,7.341111111111111,2021-10-31 00:09:32-05:00,2021-10-31 07:30:00-05:00,,
33,33,2021-11-01,6.476666666666667,2021-10-31 23:18:05-05:00,2021-11-01 06:30:00-05:00,,
34,34,2021-11-02,7.17,2021-11-01 23:18:16-05:00,2021-11-02 06:30:00-05:00,,
35,35,2021-11-03,5.783055555555555,2021-11-02 23:57:47-05:00,2021-11-03 06:30:00-05:00,,
36,36,2021-11-04,6.393888888888889,2021-11-03 23:48:25-05:00,2021-11-04 06:30:00-05:00,,
37,37,2021-11-05,7.215,2021-11-04 23:16:46-05:00,2021-11-05 06:30:00-05:00,,
38,38,2021-11-06,7.014444444444444,2021-11-06 00:10:44-05:00,2021-11-06 07:11:36-05:00,,
39,39,2021-11-07,7.428055555555557,2021-11-07 00:56:06-05:00,2021-11-07 08:30:00-05:00,,
40,40,2021-11-08,6.636666666666667,2021-11-08 00:51:49-05:00,2021-11-08 07:30:01-05:00,,
41,41,2021-11-09,6.56,2021-11-09 00:56:03-05:00,2021-11-09 07:30:00-05:00,,
42,42,2021-11-10,7.640555555555556,2021-11-09 23:50:47-05:00,2021-11-10 07:30:01-05:00,,
43,43,2021-11-11,6.622222222222222,2021-11-11 00:52:43-05:00,2021-11-11 07:30:03-05:00,,
44,44,2021-11-12,6.868888888888889,2021-11-12 00:37:42-05:00,2021-11-12 07:30:01-05:00,,
45,45,2021-11-13,7.306111111111111,2021-11-13 00:30:00-05:00,2021-11-13 08:28:44-05:00,,
46,46,2021-11-14,7.543333333333334,2021-11-14 00:57:15-05:00,2021-11-14 08:30:00-05:00,,
47,47,2021-11-15,6.996388888888889,2021-11-15 00:30:13-05:00,2021-11-15 07:30:00-05:00,,
48,48,2021-11-16,6.535277777777778,2021-11-16 00:57:54-05:00,2021-11-16 07:30:01-05:00,,
49,49,2021-11-17,6.766666666666667,2021-11-17 00:44:00-05:00,2021-11-17 07:30:00-05:00,,
50,50,2021-11-18,5.6147222222222215,2021-11-18 01:47:04-05:00,2021-11-18 07:30:00-05:00,,
51,51,2021-11-19,3.880833333333333,2021-11-19 03:37:09-05:00,2021-11-19 07:30:00-05:00,,
52,52,2021-11-20,8.000277777777777,2021-11-20 00:30:00-05:00,2021-11-20 08:30:01-05:00,,
53,53,2021-11-21,7.739722222222222,2021-11-21 00:45:37-05:00,2021-11-21 08:30:00-05:00,,
54,54,2021-11-22,6.712222222222223,2021-11-22 00:46:44-05:00,2021-11-22 07:30:01-05:00,,
55,55,2021-11-23,7.051111111111111,2021-11-23 00:26:56-05:00,2021-11-23 07:30:00-05:00,,
56,56,2021-11-24,7.783333333333333,2021-11-23 23:43:00-05:00,2021-11-24 07:30:00-05:00,,
57,57,2021-11-25,6.575555555555556,2021-11-25 00:29:22-05:00,2021-11-25 07:03:54-05:00,,
58,58,2021-11-26,8.0,2021-11-25 23:30:00-05:00,2021-11-26 07:30:00-05:00,,
59,59,2021-11-27,7.911111111111111,2021-11-27 00:35:21-05:00,2021-11-27 08:30:01-05:00,,
60,60,2021-11-28,7.42,2021-11-28 01:02:22-05:00,2021-11-28 08:30:00-05:00,,
61,61,2021-11-29,5.6002777777777775,2021-11-29 01:53:59-05:00,2021-11-29 07:30:00-05:00,,
62,62,2021-11-30,7.608611111111111,2021-11-29 23:53:29-05:00,2021-11-30 07:30:00-05:00,,
63,63,2021-12-01,7.116944444444444,2021-12-01 00:23:02-05:00,2021-12-01 07:30:03-05:00,,
64,64,2021-12-02,6.117222222222222,2021-12-02 01:22:58-05:00,2021-12-02 07:30:00-05:00,,
65,65,2021-12-03,6.716666666666667,2021-12-03 00:47:00-05:00,2021-12-03 07:30:00-05:00,,
66,66,2021-12-04,7.268055555555556,2021-12-04 00:30:00-05:00,2021-12-04 07:59:41-05:00,,
67,67,2021-12-05,7.772222222222222,2021-12-05 00:30:00-05:00,2021-12-05 08:16:20-05:00,,
68,68,2021-12-06,6.364722222222222,2021-12-06 01:08:07-05:00,2021-12-06 07:30:00-05:00,,
69,69,2021-12-07,6.4783333333333335,2021-12-07 01:01:18-05:00,2021-12-07 07:30:00-05:00,,
70,70,2021-12-08,7.248888888888889,2021-12-08 00:15:05-05:00,2021-12-08 07:30:01-05:00,,
71,71,2021-12-09,7.400833333333333,2021-12-09 00:05:57-05:00,2021-12-09 07:30:00-05:00,,
72,72,2021-12-10,6.914444444444444,2021-12-10 00:35:08-05:00,2021-12-10 07:30:00-05:00,,
73,73,2021-12-11,7.417777777777777,2021-12-11 01:04:56-05:00,2021-12-11 08:30:00-05:00,,
74,74,2021-12-12,4.336388888888888,2021-12-12 04:01:58-05:00,2021-12-12 08:23:17-05:00,,
75,75,2021-12-13,7.008055555555556,2021-12-12 23:30:00-05:00,2021-12-13 06:30:29-05:00,,
76,76,2021-12-14,7.435,2021-12-14 00:03:54-05:00,2021-12-14 07:30:00-05:00,,
77,77,2021-12-15,7.436111111111111,2021-12-15 00:03:50-05:00,2021-12-15 07:30:00-05:00,,
78,78,2021-12-16,7.610833333333333,2021-12-15 23:53:21-05:00,2021-12-16 07:30:00-05:00,,
79,79,2021-12-17,7.683333333333334,2021-12-16 23:49:01-05:00,2021-12-17 07:30:01-05:00,,
80,80,2021-12-18,7.5075,2021-12-18 00:59:34-05:00,2021-12-18 08:30:01-05:00,,
81,81,2021-12-19,8.0,2021-12-19 00:30:00-05:00,2021-12-19 08:30:00-05:00,,
82,82,2021-12-20,7.299444444444444,2021-12-20 00:12:02-05:00,2021-12-20 07:30:00-05:00,,
