,Date,total_sleep_hours
0,2022-12-17,0.03222222222222222
2,2022-12-18,0.09388888888888888
1,2022-12-19,16.65722222222222
3,2022-12-20,16.527777777777782
5,2022-12-21,18.85472222222222
7,2022-12-22,15.760555555555554
9,2022-12-23,29.105833333333333
11,2022-12-24,18.444444444444436
13,2022-12-25,18.847222222222214
15,2022-12-26,17.87027777777778
17,2022-12-27,14.388333333333335
19,2022-12-28,16.278888888888886
21,2022-12-29,13.506388888888889
23,2022-12-30,13.930833333333336
24,2022-12-31,17.23638888888889
26,2023-01-01,18.354166666666668
28,2023-01-02,16.198888888888888
30,2023-01-03,18.665277777777774
32,2023-01-04,17.61916666666667
34,2023-01-05,13.800833333333339
36,2023-01-06,17.754722222222217
38,2023-01-07,20.058055555555555
40,2023-01-08,19.603611111111114
42,2023-01-09,20.62638888888889
44,2023-01-10,16.79722222222222
46,2023-01-11,16.525555555555552
47,2023-01-12,16.046666666666663
49,2023-01-13,18.824444444444442
50,2023-01-14,14.860277777777778
52,2023-01-15,17.876666666666672
54,2023-01-16,10.660833333333334
56,2023-01-17,16.65972222222222
58,2023-01-18,14.09472222222222
60,2023-01-19,16.377777777777773
62,2023-01-20,15.135833333333332
64,2023-01-21,16.744166666666665
66,2023-01-22,13.344444444444447
68,2023-01-23,15.109166666666667
70,2023-01-24,15.23888888888889
72,2023-01-25,14.078611111111115
74,2023-01-26,0.049444444444444444
73,2023-01-27,12.723611111111111
75,2023-01-28,15.787777777777778
77,2023-01-29,15.570555555555558
79,2023-01-30,17.315277777777776
81,2023-01-31,17.68944444444445
83,2023-02-01,13.815833333333332
85,2023-02-02,15.214166666666669
87,2023-02-03,15.445833333333335
89,2023-02-04,18.98194444444444
90,2023-02-05,17.622222222222224
92,2023-02-06,14.058333333333334
94,2023-02-07,15.984166666666658
96,2023-02-08,11.552499999999998
97,2023-02-09,16.21611111111111
99,2023-02-10,14.842222222222224
101,2023-02-11,16.136111111111106
102,2023-02-12,16.639166666666668
104,2023-02-13,13.847777777777779
106,2023-02-14,14.95222222222222
108,2023-02-15,13.935555555555556
110,2023-02-16,17.447777777777773
112,2023-02-17,11.529444444444442
114,2023-02-18,17.80472222222222
116,2023-02-19,15.62055555555555
117,2023-02-20,12.76666666666667
119,2023-02-21,15.306666666666668
121,2023-02-22,13.430555555555557
123,2023-02-23,11.644722222222224
125,2023-02-24,14.522777777777781
127,2023-02-25,9.6275
129,2023-02-26,17.768888888888885
131,2023-02-27,14.478611111111114
133,2023-02-28,17.572777777777784
135,2023-03-01,13.1
137,2023-03-02,9.922222222222222
139,2023-03-03,16.60194444444445
141,2023-03-04,13.873333333333333
143,2023-03-05,9.433333333333334
148,2023-03-06,7.639722222222222
147,2023-03-07,12.595833333333335
149,2023-03-08,7.283333333333334
151,2023-03-09,11.777777777777775
153,2023-03-10,10.354444444444443
155,2023-03-11,15.642777777777779
157,2023-03-12,20.22833333333334
159,2023-03-13,12.858333333333334
161,2023-03-14,21.2675
163,2023-03-15,20.360000000000007
165,2023-03-16,20.84444444444445
167,2023-03-17,14.033611111111112
169,2023-03-18,13.981944444444448
171,2023-03-19,23.364999999999995
173,2023-03-20,18.847222222222214
175,2023-03-21,21.6775
177,2023-03-22,19.820555555555565
179,2023-03-23,14.729444444444441
181,2023-03-24,12.666666666666664
186,2023-03-25,14.223611111111108
185,2023-03-26,10.323333333333329
187,2023-03-27,13.076666666666666
189,2023-03-28,17.69527777777778
191,2023-03-29,18.503333333333334
193,2023-03-30,16.141111111111112
195,2023-03-31,18.06861111111111
197,2023-04-01,21.07166666666667
199,2023-04-02,13.662777777777778
201,2023-04-03,12.596944444444444
203,2023-04-04,15.322500000000003
205,2023-04-05,15.764166666666668
207,2023-04-06,20.8875
212,2023-04-07,14.135833333333336
214,2023-04-08,14.412777777777778
213,2023-04-09,10.883333333333336
215,2023-04-10,10.916666666666668
217,2023-04-11,9.588055555555554
219,2023-04-12,24.262777777777778
221,2023-04-13,1.5394444444444444
220,2023-04-14,12.350555555555555
222,2023-04-15,19.12638888888889
224,2023-04-16,13.734722222222219
226,2023-04-17,12.466666666666669
228,2023-04-18,16.704166666666666
230,2023-04-19,12.587499999999999
232,2023-04-20,11.841666666666667
234,2023-04-21,11.824999999999998
236,2023-04-22,13.100000000000001
241,2023-04-23,12.931388888888888
240,2023-04-24,11.26666666666667
245,2023-04-25,13.357222222222223
247,2023-04-26,10.000555555555556
246,2023-04-27,6.024999999999999
251,2023-04-28,13.342777777777783
250,2023-04-29,19.87722222222222
255,2023-04-30,11.321944444444444
254,2023-05-01,14.473611111111108
256,2023-05-02,10.241666666666667
258,2023-05-03,14.891666666666673
260,2023-05-04,11.633333333333335
262,2023-05-05,11.150000000000002
264,2023-05-06,15.841666666666667
266,2023-05-07,13.308611111111109
268,2023-05-08,7.558333333333334
270,2023-05-09,14.916666666666668
272,2023-05-10,20.22083333333333
274,2023-05-11,10.083333333333332
276,2023-05-12,11.123333333333335
278,2023-05-13,18.181666666666665
280,2023-05-14,14.867777777777778
282,2023-05-15,12.616666666666665
284,2023-05-16,13.329166666666666
289,2023-05-17,11.891944444444443
288,2023-05-18,13.252222222222223
290,2023-05-19,12.541666666666668
295,2023-05-20,16.103333333333335
297,2023-05-21,12.063888888888888
299,2023-05-22,11.627777777777776
298,2023-05-23,12.455555555555557
300,2023-05-24,12.517777777777777
302,2023-05-25,15.429166666666669
304,2023-05-26,13.796666666666665
309,2023-05-27,11.71777777777778
308,2023-05-28,11.628055555555555
310,2023-05-29,12.224444444444444
312,2023-05-30,18.937222222222225
314,2023-05-31,12.360277777777776
319,2023-06-01,15.9
321,2023-06-02,19.65027777777778
323,2023-06-03,16.642222222222223
322,2023-06-04,6.876111111111113
327,2023-06-05,14.410000000000004
326,2023-06-06,21.795555555555556
328,2023-06-07,11.06111111111111
330,2023-06-08,20.743055555555554
332,2023-06-09,18.584444444444443
337,2023-06-10,17.008888888888887
339,2023-06-11,14.207500000000001
341,2023-06-12,15.443055555555555
340,2023-06-13,11.108333333333333
345,2023-06-14,12.28361111111111
344,2023-06-15,19.116111111111113
349,2023-06-16,16.160277777777775
351,2023-06-17,14.738055555555556
353,2023-06-18,13.783055555555555
355,2023-06-19,11.638611111111112
354,2023-06-20,11.658333333333331
356,2023-06-21,13.26861111111111
358,2023-06-22,13.599999999999998
363,2023-06-23,13.952499999999999
365,2023-06-24,12.359166666666669
367,2023-06-25,15.67
366,2023-06-26,13.393888888888887
371,2023-06-27,8.430277777777777
373,2023-06-28,16.76444444444444
372,2023-06-29,14.4725
374,2023-06-30,6.150000000000001
379,2023-07-01,17.558055555555555
378,2023-07-02,20.255277777777778
380,2023-07-03,5.875
385,2023-07-04,13.183333333333335
384,2023-07-05,20.20611111111111
386,2023-07-06,12.683333333333328
391,2023-07-07,16.955277777777777
390,2023-07-08,16.57222222222222
395,2023-07-09,10.891111111111112
397,2023-07-10,13.941666666666666
399,2023-07-11,11.1675
401,2023-07-12,13.446666666666667
400,2023-07-13,12.224444444444444
405,2023-07-14,15.267222222222221
404,2023-07-15,12.30527777777778
409,2023-07-16,12.54388888888889
408,2023-07-17,12.530277777777775
413,2023-07-18,13.131944444444445
412,2023-07-19,14.564444444444446
417,2023-07-20,12.775277777777779
416,2023-07-21,12.683333333333334
418,2023-07-22,11.516666666666667
420,2023-07-23,12.45
422,2023-07-24,13.250000000000002
424,2023-07-25,13.76666666666667
426,2023-07-26,13.2
428,2023-07-27,18.389722222222222
430,2023-07-28,13.610277777777775
432,2023-07-29,7.3275000000000015
434,2023-07-30,18.634999999999994
436,2023-07-31,13.263333333333334
438,2023-08-01,13.700000000000006
443,2023-08-02,14.48388888888889
442,2023-08-03,17.087222222222227
444,2023-08-04,10.59888888888889
449,2023-08-05,15.38333333333333
448,2023-08-06,19.688888888888872
450,2023-08-07,12.183333333333335
455,2023-08-08,14.359444444444446
454,2023-08-09,18.46833333333334
456,2023-08-10,9.56666666666667
461,2023-08-11,13.333888888888888
463,2023-08-12,13.620277777777776
465,2023-08-13,13.062222222222223
464,2023-08-14,11.633333333333336
466,2023-08-15,10.54861111111111
468,2023-08-16,13.441944444444447
470,2023-08-17,13.716666666666663
472,2023-08-18,12.424999999999999
477,2023-08-19,19.56583333333333
476,2023-08-20,20.322222222222216
481,2023-08-21,19.159166666666668
483,2023-08-22,12.774722222222223
485,2023-08-23,16.59111111111111
484,2023-08-24,12.433333333333335
489,2023-08-25,16.42
488,2023-08-26,11.833333333333336
493,2023-08-27,12.464444444444444
492,2023-08-28,20.14111111111111
494,2023-08-29,12.133333333333333
496,2023-08-30,20.091944444444437
498,2023-08-31,12.85
503,2023-09-01,15.99611111111111
502,2023-09-02,11.975000000000003
507,2023-09-03,15.735833333333332
506,2023-09-04,13.133333333333333
511,2023-09-05,11.051388888888887
510,2023-09-06,19.327499999999993
512,2023-09-07,11.658333333333333
517,2023-09-08,12.19138888888889
516,2023-09-09,22.086666666666666
518,2023-09-10,12.9
520,2023-09-11,13.649999999999999
522,2023-09-12,11.29166666666667
524,2023-09-13,19.221388888888892
526,2023-09-14,18.968055555555555
531,2023-09-15,16.86777777777778
533,2023-09-16,18.108611111111113
535,2023-09-17,10.621388888888887
534,2023-09-18,6.908333333333332
536,2023-09-19,12.9
538,2023-09-20,21.12444444444443
540,2023-09-21,19.659444444444446
542,2023-09-22,18.113888888888887
544,2023-09-23,21.132777777777772
546,2023-09-24,9.950000000000001
548,2023-09-25,17.357499999999998
550,2023-09-26,13.816666666666668
552,2023-09-27,16.29361111111111
554,2023-09-28,21.495555555555555
556,2023-09-29,17.990277777777774
558,2023-09-30,21.66472222222222
560,2023-10-01,17.971388888888892
562,2023-10-02,18.16527777777778
564,2023-10-03,12.865833333333333
566,2023-10-04,17.654166666666665
568,2023-10-05,18.249444444444443
570,2023-10-06,22.233055555555552
572,2023-10-07,18.266944444444444
574,2023-10-08,23.621666666666666
576,2023-10-09,21.59194444444444
578,2023-10-10,13.583333333333334
580,2023-10-11,22.94833333333333
582,2023-10-12,22.256111111111107
584,2023-10-13,15.11388888888889
586,2023-10-14,13.8
588,2023-10-15,21.732499999999995
590,2023-10-16,15.616666666666664
592,2023-10-17,13.97777777777778
594,2023-10-18,15.166666666666668
596,2023-10-19,21.59388888888889
598,2023-10-20,15.25
600,2023-10-21,22.463055555555552
602,2023-10-22,24.808055555555555
604,2023-10-23,15.816666666666665
606,2023-10-24,15.175000000000004
608,2023-10-25,14.816666666666665
610,2023-10-26,20.449722222222224
612,2023-10-27,20.48944444444445
