,title,url,date_time,date,time
0,Watched Square: Moulin Rouge! The Musical | Altria Theater | March 4-16,https://www.youtube.com/watch?v=20ULlzE8D9M,2025-02-23 17:14:52.443000-05:00,2025-02-23,17:14:52.443000
1,Watched What happened to Asian Girl Squad??,https://www.youtube.com/watch?v=y-IAIvuorwo,2025-02-23 14:59:30.185000-05:00,2025-02-23,14:59:30.185000
2,Watched Moulin Rouge! The Musical | Altria Theater | March 4-16,https://www.youtube.com/watch?v=2HsgXO5RU-o,2025-02-23 14:59:17.681000-05:00,2025-02-23,14:59:17.681000
3,Watched Ray-Ban Meta Big Game | Where’s My Car?,https://www.youtube.com/watch?v=WM3ugxIZvlg,2025-02-23 14:59:01.638000-05:00,2025-02-23,14:59:01.638000
4,Watched CLIF Bar | Raise Your Bar | Showing Up,https://www.youtube.com/watch?v=gJzKraNhd3s,2025-02-23 14:58:49.003000-05:00,2025-02-23,14:58:49.003000
5,Watched Tana Mongeau talks about her biological parents,https://www.youtube.com/watch?v=thZEtYgxDvE,2025-02-23 14:58:40.965000-05:00,2025-02-23,14:58:40.965000
6,Viewed Ads On YouTube Homepage,,2025-02-23 14:58:26.491000-05:00,2025-02-23,14:58:26.491000
7,Watched The hierarchy of Asian prejudice #comedy #standup #crowdwork,https://www.youtube.com/watch?v=qdKwJLgibjI,2025-02-23 10:04:54.868000-05:00,2025-02-23,10:04:54.868000
8,Watched She Makes THIS MUCH In Houston?!,https://www.youtube.com/watch?v=yD7yJGievrA,2025-02-23 10:03:42.696000-05:00,2025-02-23,10:03:42.696000
9,Watched Sabrina Ionescu Athlete Extensions :15s | Nike 9x16,https://www.youtube.com/watch?v=8XxdCpSfSVQ,2025-02-23 10:03:41.609000-05:00,2025-02-23,10:03:41.609000
10,Watched Help. I’m being silenced!!,https://www.youtube.com/watch?v=IvTFl9Qw3Ls,2025-02-23 10:03:39.038000-05:00,2025-02-23,10:03:39.038000
11,Watched Karen Wife Gets Embarrassed in Court,https://www.youtube.com/watch?v=WmyeT6rQP4A,2025-02-23 10:02:36.942000-05:00,2025-02-23,10:02:36.942000
12,"Watched She earns $100,000 while living in Amsterdam",https://www.youtube.com/watch?v=03ZM8JWD56Q,2025-02-23 10:01:37.918000-05:00,2025-02-23,10:01:37.918000
13,Watched Coyote Spotted Playing With Neighborhood Dogs Meets Another Coyote | The Dodo,https://www.youtube.com/watch?v=yv6NaZV0TOI,2025-02-23 10:01:23.172000-05:00,2025-02-23,10:01:23.172000
14,Watched Moulin Rouge! The Musical | Altria Theater | March 4-16,https://www.youtube.com/watch?v=jUopp_k4oE8,2025-02-23 10:01:19.813000-05:00,2025-02-23,10:01:19.813000
15,Viewed Ads On YouTube Homepage,,2025-02-23 10:00:50.758000-05:00,2025-02-23,10:00:50.758000
