,date,total_sleep_hours,sleep_start,sleep_end,youtube_visit_time_first,youtube_visit_time_last,total_videos_watched,chrome_visit_time_first,chrome_visit_time_last,Unnamed: 0,total_count,uva,canvas,zzb2rf,drive,last_time
0,2025-01-01,7.566666666666668,2025-01-01 01:58:50-05:00,2025-01-01 10:00:20-05:00,1900-01-01 11:24:47.221,1900-01-01 17:20:12.713,6.0,1900-01-01 19:28:58.402504,1900-01-01 20:49:10.591911,312,0,0,0,0,0,20.816666666666666
1,2025-01-02,6.6083333333333325,2025-01-02 02:10:26-05:00,2025-01-02 08:59:56-05:00,1900-01-01 10:42:48.218,1900-01-01 22:42:36.226,45.0,1900-01-01 20:57:04.877178,1900-01-01 21:02:22.430207,313,0,0,0,0,0,21.033333333333335
2,2025-01-05,8.774999999999999,2025-01-05 00:32:58-05:00,2025-01-05 09:33:28-05:00,1900-01-01 19:34:25.659,1900-01-01 22:56:39.120,39.0,1900-01-01 16:03:46.136767,1900-01-01 16:57:30.015037,316,0,0,0,0,0,16.95
3,2025-01-06,7.733333333333334,2025-01-06 00:39:27-05:00,2025-01-06 08:26:57-05:00,1900-01-01 14:20:29.624,1900-01-01 21:25:50.348,14.0,1900-01-01 12:58:09.802701,1900-01-01 15:28:02.495664,317,0,0,0,0,0,15.466666666666667
4,2025-01-07,8.424999999999999,2025-01-07 01:11:51-05:00,2025-01-07 09:47:21-05:00,1900-01-01 14:54:35.739,1900-01-01 21:44:19.344,26.0,1900-01-01 20:20:22.024937,1900-01-01 20:22:32.044121,318,20,2,0,0,18,20.366666666666667
5,2025-01-14,6.824999999999999,2025-01-14 01:58:26-05:00,2025-01-14 09:01:56-05:00,1900-01-01 19:57:24.449,1900-01-01 19:58:11.405,4.0,1900-01-01 19:48:39.197536,1900-01-01 23:26:19.391436,325,49,16,33,0,0,23.433333333333334
6,2025-01-15,7.025000000000002,2025-01-15 01:32:07-05:00,2025-01-15 08:41:37-05:00,1900-01-01 00:44:49.139,1900-01-01 16:26:09.271,70.0,1900-01-01 00:42:38.986729,1900-01-01 21:20:47.041922,326,95,26,40,7,22,21.333333333333332
7,2025-01-16,7.683333333333333,2025-01-16 00:40:46-05:00,2025-01-16 08:50:46-05:00,1900-01-01 14:03:26.020,1900-01-01 14:45:09.480,25.0,1900-01-01 10:58:52.862943,1900-01-01 23:53:18.450933,327,10,2,8,0,0,23.883333333333333
8,2025-01-18,7.400000000000001,2025-01-18 01:31:02-05:00,2025-01-18 09:02:32-05:00,,,,1900-01-01 17:44:32.938612,1900-01-01 22:17:22.304102,329,19,2,17,0,0,22.283333333333335
9,2025-01-19,9.625000000000002,2025-01-19 00:07:34-05:00,2025-01-19 10:00:04-05:00,1900-01-01 18:21:56.996,1900-01-01 18:58:53.541,3.0,1900-01-01 19:03:13.785277,1900-01-01 22:57:36.135671,330,47,8,16,0,23,22.95
10,2025-01-20,6.9,2025-01-20 02:42:35-05:00,2025-01-20 10:01:35-05:00,1900-01-01 16:13:20.223,1900-01-01 18:03:45.247,6.0,1900-01-01 12:15:58.302043,1900-01-01 21:15:00.662498,331,27,5,22,0,0,21.25
11,2025-01-21,7.5,2025-01-21 00:46:50-05:00,2025-01-21 08:27:50-05:00,1900-01-01 12:42:31.613,1900-01-01 13:43:08.066,16.0,1900-01-01 11:05:24.201538,1900-01-01 19:08:01.159060,332,29,4,18,0,7,19.133333333333333
12,2025-01-22,8.383333333333333,2025-01-22 00:54:41-05:00,2025-01-22 09:26:41-05:00,1900-01-01 12:17:09.846,1900-01-01 22:44:46.851,5.0,1900-01-01 09:51:21.134143,1900-01-01 23:15:26.410792,333,74,41,25,8,0,23.25
13,2025-01-23,6.958333333333334,2025-01-23 00:55:20-05:00,2025-01-23 09:19:20-05:00,1900-01-01 09:59:03.318,1900-01-01 13:49:26.832,62.0,1900-01-01 11:05:41.377402,1900-01-01 15:56:34.671155,334,19,4,15,0,0,15.933333333333334
14,2025-01-24,7.65,2025-01-24 00:28:48-05:00,2025-01-24 08:14:48-05:00,1900-01-01 17:27:27.368,1900-01-01 23:21:52.146,60.0,1900-01-01 17:27:12.657344,1900-01-01 22:22:59.629575,335,78,43,19,1,15,22.366666666666667
15,2025-01-25,8.658333333333333,2025-01-24 23:40:06-05:00,2025-01-25 08:44:06-05:00,1900-01-01 11:25:06.190,1900-01-01 23:08:12.410,203.0,1900-01-01 11:24:29.700166,1900-01-01 21:56:11.585071,336,54,2,37,0,15,21.933333333333334
16,2025-01-29,7.408333333333333,2025-01-29 00:57:29-05:00,2025-01-29 09:01:59-05:00,1900-01-01 21:27:55.745,1900-01-01 21:47:11.126,29.0,1900-01-01 10:00:01.336202,1900-01-01 22:24:12.168603,340,119,24,68,1,26,22.4
17,2025-01-30,7.258333333333333,2025-01-30 01:03:42-05:00,2025-01-30 09:04:42-05:00,1900-01-01 13:58:21.596,1900-01-01 23:47:01.421,28.0,1900-01-01 11:16:54.115248,1900-01-01 23:52:35.325968,341,54,4,14,8,28,23.866666666666667
18,2025-01-31,7.691666666666667,2025-01-31 00:51:10-05:00,2025-01-31 08:41:10-05:00,1900-01-01 15:58:47.390,1900-01-01 22:44:36.878,70.0,1900-01-01 15:56:38.616466,1900-01-01 17:02:13.146155,342,16,2,14,0,0,17.033333333333335
