,Date,total_sleep_hours
0,2021-08-27,7.53
1,2021-08-29,0.20722222222222222
2,2021-09-28,7.203611111111111
3,2021-09-29,7.277222222222222
6,2021-10-02,8.0
7,2021-10-03,6.937777777777778
9,2021-10-04,7.010277777777778
8,2021-10-05,1.0086111111111111
12,2021-10-06,7.421944444444445
11,2021-10-07,6.284999999999999
15,2021-10-08,8.0
16,2021-10-09,7.206388888888889
17,2021-10-10,7.030277777777778
18,2021-10-11,7.261111111111111
19,2021-10-12,6.547777777777778
20,2021-10-13,6.671666666666667
21,2021-10-16,7.005
22,2021-10-17,7.187777777777778
25,2021-10-18,7.300833333333333
26,2021-10-19,0.0002777777777777778
28,2021-10-20,0.4866666666666667
30,2021-10-21,7.220555555555555
29,2021-10-22,6.471111111111111
32,2021-10-23,0.6952777777777778
31,2021-10-24,6.5697222222222225
33,2021-10-25,5.777777777777778
38,2021-10-26,7.0808333333333335
39,2021-10-27,7.116666666666666
40,2021-10-30,6.555833333333333
41,2021-10-31,7.341111111111111
43,2021-11-01,6.441944444444444
45,2021-11-02,0.3997222222222222
47,2021-11-03,5.753611111111111
49,2021-11-04,6.3372222222222225
51,2021-11-05,5.29
52,2021-11-06,7.014444444444444
53,2021-11-07,7.428055555555557
54,2021-11-08,6.636666666666667
55,2021-11-09,6.56
57,2021-11-10,5.656666666666667
58,2021-11-11,6.622222222222222
59,2021-11-12,6.868888888888889
60,2021-11-13,7.306111111111111
61,2021-11-14,7.543333333333334
62,2021-11-15,6.996388888888889
63,2021-11-16,6.535277777777778
64,2021-11-17,6.766666666666667
65,2021-11-18,5.6147222222222215
66,2021-11-19,3.8808333333333334
67,2021-11-20,8.000277777777777
68,2021-11-21,7.739722222222222
71,2021-11-22,7.783333333333333
70,2021-11-23,7.051111111111111
73,2021-11-24,8.0
72,2021-11-25,6.575555555555556
74,2021-11-27,7.911111111111111
77,2021-11-28,7.608611111111111
76,2021-11-29,5.6002777777777775
78,2021-12-01,7.116944444444444
79,2021-12-02,6.117222222222222
80,2021-12-03,6.716666666666667
81,2021-12-04,7.268055555555556
82,2021-12-05,7.772222222222222
83,2021-12-06,6.364722222222222
84,2021-12-07,6.4783333333333335
85,2021-12-08,7.248888888888889
86,2021-12-09,7.400833333333333
87,2021-12-10,6.914444444444444
88,2021-12-11,7.417777777777777
89,2021-12-12,4.336388888888888
93,2021-12-14,7.610833333333333
94,2021-12-15,7.683333333333334
95,2021-12-18,7.5075
96,2021-12-19,8.0
97,2021-12-20,7.299444444444444
101,2021-12-21,8.0
100,2021-12-22,0.065
102,2021-12-24,7.321111111111111
103,2021-12-25,7.526388888888889
104,2021-12-26,7.48
107,2021-12-27,7.214166666666666
109,2021-12-28,7.824166666666667
110,2021-12-29,7.872777777777777
111,2022-01-01,7.810555555555555
112,2022-01-02,8.0
113,2022-01-03,6.274444444444445
116,2022-01-04,8.0
117,2022-01-05,7.783611111111111
118,2022-01-08,7.856388888888889
121,2022-01-09,8.000833333333333
122,2022-01-10,7.965277777777778
123,2022-01-11,8.0
124,2022-01-12,8.0
125,2022-01-15,8.000277777777777
126,2022-01-16,7.850555555555555
128,2022-01-18,7.296666666666667
129,2022-01-19,7.013055555555556
130,2022-01-20,6.967777777777778
131,2022-01-21,7.168611111111111
132,2022-01-22,7.447777777777778
133,2022-01-23,6.138333333333334
134,2022-01-24,6.564166666666667
135,2022-01-25,7.019722222222223
136,2022-01-26,6.993333333333333
137,2022-01-27,7.060833333333333
138,2022-01-28,6.670833333333333
139,2022-01-29,6.812777777777778
142,2022-01-30,8.000277777777777
141,2022-01-31,7.059444444444445
144,2022-02-01,5.838888888888889
143,2022-02-02,7.428888888888889
145,2022-02-03,1.4630555555555556
146,2022-02-04,7.309444444444445
147,2022-02-05,6.811111111111111
148,2022-02-06,7.253333333333333
149,2022-02-07,7.289722222222222
150,2022-02-08,6.820277777777778
154,2022-02-09,7.828888888888889
153,2022-02-10,1.309722222222222
155,2022-02-12,5.691666666666666
156,2022-02-13,8.000555555555556
157,2022-02-14,7.080277777777778
158,2022-02-15,7.103611111111111
161,2022-02-16,7.993055555555555
160,2022-02-17,6.759722222222222
162,2022-02-19,8.000277777777777
163,2022-02-20,7.998333333333333
164,2022-02-21,6.574722222222222
165,2022-02-22,6.919722222222222
166,2022-02-23,7.310833333333333
167,2022-02-24,6.3661111111111115
168,2022-02-25,6.829444444444444
169,2022-02-26,6.995
170,2022-02-27,7.749444444444444
171,2022-02-28,6.351111111111111
175,2022-03-02,7.5808333333333335
174,2022-03-03,5.951388888888889
176,2022-03-05,8.0
177,2022-03-06,8.0
181,2022-03-08,7.671388888888889
182,2022-03-09,8.0
183,2022-03-12,8.0
184,2022-03-13,7.0
187,2022-03-14,7.235
188,2022-03-15,7.343055555555556
189,2022-03-16,6.745555555555556
191,2022-03-18,7.822777777777778
190,2022-03-19,5.2091666666666665
193,2022-03-20,7.1177777777777775
194,2022-03-21,6.9383333333333335
195,2022-03-22,7.046111111111111
196,2022-03-23,7.615
197,2022-03-24,7.924722222222222
198,2022-03-25,7.5313888888888885
199,2022-03-26,6.4944444444444445
201,2022-03-27,6.779722222222222
202,2022-03-28,7.1305555555555555
203,2022-03-29,6.8613888888888885
204,2022-04-01,5.92
205,2022-04-02,5.775277777777778
206,2022-04-03,6.317222222222222
207,2022-04-04,5.823611111111111
208,2022-04-05,6.385277777777778
209,2022-04-06,6.323611111111111
210,2022-04-07,5.211388888888889
211,2022-04-08,4.260833333333333
214,2022-04-09,7.599722222222222
215,2022-04-10,6.846111111111111
218,2022-04-13,6.701666666666667
219,2022-04-14,8.000277777777777
220,2022-04-15,7.808611111111111
222,2022-04-17,6.851111111111111
223,2022-04-18,7.310277777777777
224,2022-04-19,6.641111111111111
226,2022-04-21,8.000277777777777
225,2022-04-22,2.301111111111111
227,2022-04-24,7.188888888888889
230,2022-04-25,7.018055555555556
229,2022-04-26,5.713333333333333
232,2022-04-27,7.283333333333333
231,2022-04-28,5.9494444444444445
235,2022-04-30,7.065833333333333
234,2022-05-01,6.013055555555556
236,2022-05-03,6.470555555555555
237,2022-05-04,4.476944444444444
240,2022-05-05,7.515555555555555
239,2022-05-06,6.033055555555555
242,2022-05-07,4.564166666666667
241,2022-05-08,5.5225
245,2022-05-09,2.868888888888889
244,2022-05-10,5.728055555555556
246,2022-05-11,3.859166666666667
247,2022-05-12,5.526388888888889
250,2022-05-13,7.721388888888889
251,2022-05-14,7.700833333333334
252,2022-05-15,7.0472222222222225
253,2022-05-16,8.000277777777777
254,2022-05-17,7.466111111111111
255,2022-05-20,5.301388888888889
256,2022-05-21,7.383055555555556
260,2022-05-22,7.016388888888889
