,Date,total_sleep_hours,sleep_start,sleep_end
0,2022-12-19,16.689444444444444,2022-12-18 23:59:55-05:00,2022-12-19 10:31:52-05:00
1,2022-12-20,16.62166666666667,2022-12-19 23:56:03-05:00,2022-12-20 09:32:16-05:00
2,2022-12-21,19.095555555555556,2022-12-20 23:35:59-05:00,2022-12-21 09:54:31-05:00
3,2022-12-22,16.91833333333333,2022-12-21 23:04:26-05:00,2022-12-22 09:51:32-05:00
4,2022-12-23,29.25361111111111,2022-12-22 23:58:40-05:00,2022-12-23 11:28:43-05:00
5,2022-12-24,18.446111111111104,2022-12-23 23:53:19-05:00,2022-12-24 10:32:17-05:00
6,2022-12-25,19.728333333333328,2022-12-24 23:12:18-05:00,2022-12-25 10:33:26-05:00
7,2022-12-26,17.87055555555556,2022-12-25 23:49:13-05:00,2022-12-26 10:10:01-05:00
8,2022-12-27,14.388611111111112,2022-12-26 23:18:37-05:00,2022-12-27 09:20:13-05:00
9,2022-12-28,16.324444444444442,2022-12-27 23:47:56-05:00,2022-12-28 09:30:16-05:00
10,2022-12-29,13.715555555555554,2022-12-28 23:46:05-05:00,2022-12-29 07:16:39-05:00
11,2022-12-30,14.441944444444447,2022-12-29 23:42:01-05:00,2022-12-30 09:00:01-05:00
12,2022-12-31,17.23638888888889,2022-12-31 00:00:07-05:00,2022-12-31 10:12:42-05:00
13,2023-01-01,18.99416666666667,2022-12-31 23:15:58-05:00,2023-01-01 10:37:17-05:00
14,2023-01-02,16.210555555555555,2023-01-01 23:46:54-05:00,2023-01-02 10:09:19-05:00
15,2023-01-03,18.716388888888886,2023-01-02 23:59:00-05:00,2023-01-03 12:00:01-05:00
16,2023-01-04,17.765555555555558,2023-01-03 23:55:24-05:00,2023-01-04 10:50:32-05:00
17,2023-01-05,14.066388888888893,2023-01-04 23:44:17-05:00,2023-01-05 08:31:47-05:00
18,2023-01-06,18.137222222222217,2023-01-05 23:37:51-05:00,2023-01-06 12:00:00-05:00
19,2023-01-07,20.064999999999998,2023-01-06 23:55:08-05:00,2023-01-07 10:28:08-05:00
20,2023-01-08,19.652500000000003,2023-01-07 23:31:12-05:00,2023-01-08 10:36:55-05:00
21,2023-01-09,20.705555555555556,2023-01-08 23:53:15-05:00,2023-01-09 10:46:18-05:00
22,2023-01-10,16.80833333333333,2023-01-09 23:59:23-05:00,2023-01-10 10:06:07-05:00
23,2023-01-11,16.541111111111107,2023-01-10 23:38:17-05:00,2023-01-11 10:02:31-05:00
24,2023-01-12,16.046666666666663,2023-01-12 00:04:48-05:00,2023-01-12 11:07:00-05:00
25,2023-01-13,18.82833333333333,2023-01-12 23:58:55-05:00,2023-01-13 11:49:52-05:00
26,2023-01-14,14.860277777777778,2023-01-14 00:03:28-05:00,2023-01-14 09:07:26-05:00
27,2023-01-15,17.890000000000008,2023-01-14 23:57:34-05:00,2023-01-15 09:21:01-05:00
28,2023-01-16,21.736666666666657,2023-01-15 23:09:44-05:00,2023-01-16 12:00:00-05:00
29,2023-01-17,16.659999999999997,2023-01-16 23:48:48-05:00,2023-01-17 09:33:08-05:00
30,2023-01-18,14.094999999999999,2023-01-17 23:50:55-05:00,2023-01-18 08:02:01-05:00
31,2023-01-19,16.37805555555555,2023-01-18 23:54:19-05:00,2023-01-19 08:46:48-05:00
32,2023-01-20,15.243055555555555,2023-01-19 23:54:39-05:00,2023-01-20 08:02:07-05:00
33,2023-01-21,16.77222222222222,2023-01-20 23:47:09-05:00,2023-01-21 09:11:13-05:00
34,2023-01-22,13.428611111111115,2023-01-21 23:30:23-05:00,2023-01-22 09:32:27-05:00
35,2023-01-23,15.114444444444445,2023-01-22 23:59:49-05:00,2023-01-23 08:02:01-05:00
36,2023-01-24,15.315833333333336,2023-01-23 23:54:57-05:00,2023-01-24 08:46:22-05:00
37,2023-01-25,14.090833333333338,2023-01-24 23:52:42-05:00,2023-01-25 08:01:28-05:00
38,2023-01-27,12.72388888888889,2023-01-26 23:46:56-05:00,2023-01-27 08:02:01-05:00
39,2023-01-28,15.837222222222223,2023-01-27 23:56:30-05:00,2023-01-28 09:33:31-05:00
40,2023-01-29,16.071388888888887,2023-01-28 23:58:22-05:00,2023-01-29 08:34:13-05:00
41,2023-01-30,17.37388888888889,2023-01-29 23:52:51-05:00,2023-01-30 10:16:37-05:00
42,2023-01-31,18.403888888888893,2023-01-30 23:39:02-05:00,2023-01-31 10:05:02-05:00
43,2023-02-01,14.131944444444443,2023-01-31 23:37:39-05:00,2023-02-01 08:01:14-05:00
44,2023-02-02,15.214722222222225,2023-02-01 23:53:11-05:00,2023-02-02 08:45:15-05:00
45,2023-02-03,15.52138888888889,2023-02-02 23:49:46-05:00,2023-02-03 08:01:31-05:00
46,2023-02-04,18.986111111111107,2023-02-03 23:48:03-05:00,2023-02-04 12:00:12-05:00
47,2023-02-05,17.622222222222224,2023-02-05 00:01:13-05:00,2023-02-05 10:04:21-05:00
48,2023-02-06,14.05861111111111,2023-02-05 23:54:41-05:00,2023-02-06 08:00:40-05:00
49,2023-02-07,16.165555555555546,2023-02-06 23:48:30-05:00,2023-02-07 10:02:09-05:00
50,2023-02-08,11.552777777777777,2023-02-07 23:57:34-05:00,2023-02-08 08:01:45-05:00
51,2023-02-09,16.21611111111111,2023-02-09 00:02:45-05:00,2023-02-09 08:46:38-05:00
52,2023-02-10,14.843333333333335,2023-02-09 23:52:44-05:00,2023-02-10 08:02:03-05:00
53,2023-02-11,16.13638888888888,2023-02-10 23:32:55-05:00,2023-02-11 09:58:16-05:00
54,2023-02-12,16.639166666666668,2023-02-12 00:01:56-05:00,2023-02-12 08:46:18-05:00
55,2023-02-13,13.849166666666667,2023-02-12 23:59:20-05:00,2023-02-13 08:00:15-05:00
56,2023-02-14,14.962499999999999,2023-02-13 23:59:52-05:00,2023-02-14 08:45:16-05:00
57,2023-02-15,13.935833333333333,2023-02-14 23:52:47-05:00,2023-02-15 07:53:31-05:00
58,2023-02-16,17.450555555555553,2023-02-15 23:54:26-05:00,2023-02-16 10:02:05-05:00
59,2023-02-17,11.679166666666664,2023-02-16 23:58:54-05:00,2023-02-17 08:02:01-05:00
60,2023-02-18,17.808888888888887,2023-02-17 23:53:55-05:00,2023-02-18 09:33:39-05:00
61,2023-02-19,15.620833333333328,2023-02-18 23:52:13-05:00,2023-02-19 09:24:16-05:00
62,2023-02-20,12.76666666666667,2023-02-20 00:00:11-05:00,2023-02-20 08:00:41-05:00
63,2023-02-21,15.327500000000002,2023-02-20 23:58:47-05:00,2023-02-21 09:09:17-05:00
64,2023-02-22,13.450555555555557,2023-02-21 23:52:24-05:00,2023-02-22 08:00:20-05:00
65,2023-02-23,11.696666666666669,2023-02-22 23:59:24-05:00,2023-02-23 06:16:06-05:00
66,2023-02-24,14.52305555555556,2023-02-23 23:54:19-05:00,2023-02-24 08:01:18-05:00
67,2023-02-25,18.529166666666665,2023-02-24 23:33:14-05:00,2023-02-25 09:00:16-05:00
68,2023-02-26,17.77194444444444,2023-02-25 23:59:25-05:00,2023-02-26 09:08:55-05:00
69,2023-02-27,14.478888888888893,2023-02-26 23:16:53-05:00,2023-02-27 08:01:55-05:00
70,2023-02-28,17.689166666666672,2023-02-27 23:54:01-05:00,2023-02-28 09:19:49-05:00
