,date,total_sleep_hours,sleep_start,sleep_end,time_first,url_first,title_first,type_first,time_last,url_last,title_last,type_last,date_time,session_id,session_duration,had_session,total_videos_watched
0,2025-01-01,7.566666666666668,2025-01-01 01:58:50-05:00,2025-01-01 10:00:20-05:00,11:24:47.221000,https://www.youtube.com/watch?v=LdNcXiYX_GY,the gold titanium apple watch series 10 is absolutely gorgeous ✨ #applewatch #applewatchseries10,Watched,17:20:12.713000,https://www.youtube.com/watch?v=BuMEDjtWC78,Craftsy’s 99% OFF New Year's Crochet Deal.,Watched,2025-01-01 17:20:12.713000-05:00,3,0 days 00:00:08.270000,True,6
1,2025-01-02,6.6083333333333325,2025-01-02 02:10:26-05:00,2025-01-02 08:59:56-05:00,10:42:44.410000,https://www.youtube.com/results?search_query=moss+stitch+scarf,for moss stitch scarf,Searched,22:42:36.226000,https://www.youtube.com/watch?v=oTbDmSTwZN4,4.0 | Gifting | EN - US | YouTube In-Feed | ChrisRodriguezGiftingNovember24,Watched,2025-01-02 22:42:36.226000-05:00,8,0 days 04:23:23.311000,True,45
2,2025-01-03,,,,12:47:15.706000,https://www.youtube.com/watch?v=SRCZ-59k4UA,DMV: Online Degrees & Certificates_App Fee waived thru Feb 12_Square,Watched,13:07:38.305000,https://www.youtube.com/watch?v=-g4dQt57OKo,Bro was a member 💀🤣 #kaneljoseph #funnymoments #funniestytclips #shorts,Watched,2025-01-03 13:07:38.305000-05:00,9,0 days 00:00:26.006000,True,35
3,2025-01-04,7.874999999999999,2025-01-04 01:22:05-05:00,2025-01-04 09:34:35-05:00,00:23:09.520000,https://www.youtube.com/watch?v=eymzYuoLJ04,My reaction to big bro come handle this intruder #keyettehendricks,Watched,09:57:56.303000,https://www.youtube.com/watch?v=fsU7Wdbcrvo,[MultiSub]没有人硬cue我们昭昭墨墨就是纯甜啊！孟子义每一次撒娇李昀锐都招架不住 第一次拍这种尺度的吻戏！#孟子义 #李昀锐 #九重紫 #爱豆星日常 #路透,Watched,2025-01-04 09:57:56.303000-05:00,11,0 days 00:00:08.783000,True,11
4,2025-01-05,8.774999999999999,2025-01-05 00:32:58-05:00,2025-01-05 09:33:28-05:00,19:34:17.228000,https://www.youtube.com/watch?v=SRCZ-59k4UA,DMV: Online Degrees & Certificates_App Fee waived thru Feb 12_Square,Watched,22:56:39.120000,https://www.youtube.com/watch?v=TDBNltzAg_w,=ENG SUB=天盛長歌 The Rise of Phoenixes 02 陳坤 倪妮 CROTON MEGAHIT Official,Watched,2025-01-05 22:56:39.120000-05:00,14,0 days 00:07:35.977000,True,39
5,2025-01-06,7.733333333333334,2025-01-06 00:39:27-05:00,2025-01-06 08:26:57-05:00,14:20:29.624000,https://www.youtube.com/watch?v=vB1LhFMW6TA,A Closer Look Into Jack Mason's Next Icon | Design to Watch: Design Always Wins (S4 E2),Watched,21:25:50.348000,https://www.youtube.com/watch?v=Q21Yr_oKfHE,MOSCOT Eye-Conic Style Since 1915,Watched,2025-01-06 21:25:50.348000-05:00,17,0 days 00:00:06.902000,True,14
6,2025-01-07,8.424999999999999,2025-01-07 01:11:51-05:00,2025-01-07 09:47:21-05:00,14:54:35.739000,https://www.youtube.com/watch?v=53hcbW68z9s,Find Your Great Indoors - Dining Room,Watched,21:45:00.709000,https://www.youtube.com/results?search_query=keep+running+season+3+ep+11,for keep running season 3 ep 11,Searched,2025-01-07 21:45:00.709000-05:00,20,0 days 00:00:41.365000,True,26
7,2025-01-10,6.758333333333332,2025-01-10 03:16:47-05:00,2025-01-10 10:35:17-05:00,02:14:15.878000,https://www.youtube.com/watch?v=S43Vb30aM10,Girls Trip,Watched,02:14:46.341000,https://www.youtube.com/watch?v=e1EiJidoQSw,4.0 | January Jumpstart | EN - US | YouTube In-Feed | InTheGreen:15,Watched,2025-01-10 02:14:46.341000-05:00,21,0 days 00:00:21.233000,True,4
8,2025-01-11,6.049999999999998,2025-01-11 05:05:14-05:00,2025-01-11 11:15:14-05:00,12:18:07.384000,https://www.youtube.com/watch?v=TfEfXN9dgsY,USz 241223 9  16X9,Watched,12:26:20.553000,https://www.youtube.com/watch?v=wUkm3ThzMnA,KOREAN FOOD TOUR WITH MIA!! Vlogmas Day 18,Watched,2025-01-11 12:26:20.553000-05:00,22,0 days 00:00:09.090000,True,17
9,2025-01-13,7.083333333333333,2025-01-13 02:50:21-05:00,2025-01-13 10:36:51-05:00,11:06:02.033000,https://www.youtube.com/watch?v=5lbH-GBPLm8,4.0 | January Jumpstart | EN - US | YouTube In-Feed | StrongStart:15,Watched,15:14:13.983000,https://www.youtube.com/watch?v=MTSsh_g3_4c,We Lost Our Home in the LA Fire,Watched,2025-01-13 15:14:13.983000-05:00,24,0 days 00:00:11.047000,True,4
10,2025-01-14,6.824999999999999,2025-01-14 01:58:26-05:00,2025-01-14 09:01:56-05:00,19:57:24.449000,https://www.youtube.com/watch?v=SRCZ-59k4UA,DMV: Online Degrees & Certificates_App Fee waived thru Feb 12_Square,Watched,19:58:11.405000,https://www.youtube.com/watch?v=-EzSRgb4BKQ,The coolest thing I’ve done!! #oystermushrooms #gardening #lifestyle,Watched,2025-01-14 19:58:11.405000-05:00,25,0 days 00:00:31.255000,True,4
11,2025-01-15,7.025000000000002,2025-01-15 01:32:07-05:00,2025-01-15 08:41:37-05:00,00:44:49.139000,https://www.youtube.com/watch?v=7591xK_L3Zs,makeitavrbo-beach-cfb-filmcutdown-entry-nohost,Watched,16:26:09.271000,https://www.youtube.com/watch?v=pGItiFCYwOU,😂 Jackie saves lives and takes the loot #movie #shorts #video,Watched,2025-01-15 16:26:09.271000-05:00,28,0 days 00:00:43.580000,True,70
12,2025-01-16,7.683333333333333,2025-01-16 00:40:46-05:00,2025-01-16 08:50:46-05:00,14:03:26.020000,https://www.youtube.com/watch?v=vRMYa947-A0,She got the job for her bravery!#viralvideo #tvshow #shortvideo #shorts #fyp,Watched,14:45:09.480000,https://www.youtube.com/watch?v=y1D7e70qC0Y,I love the transparency #healthymealideas #oliviarodrigo #kyliejenner #celebrity #nutrition #snacks,Watched,2025-01-16 14:45:09.480000-05:00,29,0 days 00:00:12.075000,True,25
13,2025-01-17,6.633333333333332,2025-01-17 01:04:10-05:00,2025-01-17 08:41:40-05:00,20:43:28.690000,https://www.youtube.com/watch?v=ODhjarU4f-0,Severance | Apple TV+,Watched,20:43:38.202000,https://www.youtube.com/watch?v=CHYabJCG5YE,151 & Surging Sparks Unboxing | Can Surging Sparks Outshine 151?,Watched,2025-01-17 20:43:38.202000-05:00,30,0 days 00:00:05.796000,True,2
14,2025-01-19,9.625000000000002,2025-01-19 00:07:34-05:00,2025-01-19 10:00:04-05:00,18:21:56.996000,https://www.youtube.com/watch?v=BaASc-CBj48,"Lemonade - If you can film yourself, you can file a claim",Watched,18:58:53.541000,https://www.youtube.com/watch?v=i6MVuBPZIag,Now Taxes is Fast Money - TurboTax 2025 Commercial (Official TV Ad :15),Watched,2025-01-19 18:58:53.541000-05:00,33,0 days 00:36:49.253000,True,3
15,2025-01-20,6.9,2025-01-20 02:42:35-05:00,2025-01-20 10:01:35-05:00,16:13:20.223000,,,,18:03:45.247000,https://www.youtube.com/watch?v=IccwMSIUXaU,"BIG POKÉMON FINDS at the Best Card Shops in Richmond, VA",Watched,2025-01-20 18:03:45.247000-05:00,36,0 days 00:00:06.181000,True,6
16,2025-01-21,7.5,2025-01-21 00:46:50-05:00,2025-01-21 08:27:50-05:00,12:42:31.613000,https://www.youtube.com/watch?v=5V24wezQbsI,4.0 | January Jumpstart | EN - US | YouTube In-Feed | NatalieAllportDecember24,Watched,13:43:08.066000,https://www.youtube.com/watch?v=1OBUoH_RSGI,009 1570 SeeYaOnThePlayground NAM EUR Acq ES MX UAC 1920x1080 60s IG M2 447,Watched,2025-01-21 13:43:08.066000-05:00,37,0 days 00:23:04.352000,True,16
17,2025-01-22,8.383333333333333,2025-01-22 00:54:41-05:00,2025-01-22 09:26:41-05:00,12:17:09.846000,https://www.youtube.com/watch?v=5lbH-GBPLm8,4.0 | January Jumpstart | EN - US | YouTube In-Feed | StrongStart:15,Watched,22:44:46.851000,https://www.google.com/url?q=https://ad.doubleclick.net/ddm/trackclk/N8893.3159GOOGLE3/B32595398.412592752%3Bdc_trk_aid%3D604810313%3Bdc_trk_cid%3D228636545%3Bdc_lat%3D%3Bdc_rdid%3D%3Btag_for_child_directed_treatment%3D%3Btfua%3D%3Bgdpr%3D%24%7BGDPR%7D%3Bgdpr_consent%3D%24%7BGDPR_CONSENT_755%7D%3Bltd%3D%3Bdc_tdv%3D1%3Bdc_transparent%3D1%3B%3Bdc_rui%3D1%3Bdc_eps%3DAHas8cC6RlC8NMOZdBQj7m9RbnCvuzzatZED_OnH5Amol_vu6uEXOTe2BejPqYT0IUjx5UROGB-nDudChsJ9%3Bdc_pubid%3D6%3Fhttps://www.nike.com/t/dunk-low-womens-shoes-0kZvx6/HF5075-287%3Fcp%3D58987590320_ad_pdisp_CRPQW31H1WZX%26macro%3D412592752-228636545%26wbraid%3D%7Bwbraid%7D&usg=AOvVaw1E7hmgOZP8gmJRbVFXNzyK,,,2025-01-22 22:44:46.851000-05:00,40,0 days 00:04:44.595000,True,5
